ga_loop.thisRepN,ga_loop.thisTrialN,ga_loop.thisN,ga_loop.thisIndex,psychometric_func.thisRepN,psychometric_func.thisTrialN,psychometric_func.thisN,psychometric_func.thisIndex,thisRow.t,notes,text_2.started,key_resp.started,key_resp.keys,key_resp.rt,contrast.routineEndVal,spatial.routineEndVal,polygon.started,text_3.started,polygon.stopped,text_3.stopped,position.routineEndVal,key_resp_2.started,polygon_2.started,text_4.started,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,polygon_3.started,polygon_3.stopped,participant,session,stimulus duration,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,39.03274739999324,39.03274739999324,space,69.20225880004,,,,,,,,,,,,,,,,733766,001,0.1,2024-03-30_03h33.45.442,stimuli3,2022.2.5,59.82850756254131,
0,0,0,0,0,0,0,0,,,,,,,0.05318295896944989,0.5,69.28218450001441,69.28218450001441,69.38236720004352,69.38236720004352,"(-16, -8)",69.38236720004352,69.38236720004352,69.38236720004352,i,0,76.76004600001033,76.7838070000289,77.28232769999886,733766,001,0.1,2024-03-30_03h33.45.442,stimuli3,2022.2.5,59.82850756254131,
0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,733766,001,0.1,2024-03-30_03h33.45.442,stimuli3,2022.2.5,59.82850756254131,
1,0,1,0,0,0,0,0,,,,,,,0.1414213562373095,0.5,77.28232769999886,77.28232769999886,77.38312340003904,77.38312340003904,"(-16, -8)",77.38312340003904,77.38312340003904,77.38312340003904,i,0,88.06186790001811,88.08278860000428,88.58214459998999,733766,001,0.1,2024-03-30_03h33.45.442,stimuli3,2022.2.5,59.82850756254131,
1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,733766,001,0.1,2024-03-30_03h33.45.442,stimuli3,2022.2.5,59.82850756254131,
2,0,2,0,0,0,0,0,,,,,,,0.020000000000000004,0.5,88.58214459998999,88.58214459998999,88.68330400000559,88.68330400000559,"(16, -8)",88.68330400000559,88.68330400000559,88.68330400000559,i,0,89.30290130001958,89.33293710002908,89.84997490001842,733766,001,0.1,2024-03-30_03h33.45.442,stimuli3,2022.2.5,59.82850756254131,
2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,733766,001,0.1,2024-03-30_03h33.45.442,stimuli3,2022.2.5,59.82850756254131,
3,0,3,0,0,0,0,0,,,,,,,0.05318295896944989,0.5,89.84997490001842,89.84997490001842,89.94956939999247,89.94956939999247,"(16, -8)",89.94956939999247,89.94956939999247,89.94956939999247,i,0,90.18542490003165,90.21592039999086,90.73355920001632,733766,001,0.1,2024-03-30_03h33.45.442,stimuli3,2022.2.5,59.82850756254131,
3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,733766,001,0.1,2024-03-30_03h33.45.442,stimuli3,2022.2.5,59.82850756254131,
4,0,4,0,0,0,0,0,,,,,,,0.3760603093086394,0.5,90.73355920001632,90.73355920001632,90.83383900002809,90.83383900002809,"(-16, 8)",90.83383900002809,90.83383900002809,90.83383900002809,i,0,91.35550100001274,91.38283519999823,91.88294640003005,733766,001,0.1,2024-03-30_03h33.45.442,stimuli3,2022.2.5,59.82850756254131,
4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,733766,001,0.1,2024-03-30_03h33.45.442,stimuli3,2022.2.5,59.82850756254131,
5,0,5,0,0,0,0,0,,,,,,,1.0,0.5,91.88294640003005,91.88294640003005,91.98328400001628,91.98328400001628,"(16, -8)",91.98328400001628,91.98328400001628,91.98328400001628,i,0,100.71287610003492,100.7329740000423,101.23282199999085,733766,001,0.1,2024-03-30_03h33.45.442,stimuli3,2022.2.5,59.82850756254131,
5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,733766,001,0.1,2024-03-30_03h33.45.442,stimuli3,2022.2.5,59.82850756254131,
,,,,,,,,,,,,,,1.0,0.5,101.23282199999085,101.23282199999085,101.3329161000438,101.3329161000438,"(-16, 8)",101.3329161000438,101.3329161000438,101.3329161000438,,,,,,,,,,,,,
