ga_loop.thisRepN,ga_loop.thisTrialN,ga_loop.thisN,ga_loop.thisIndex,psychometric_func.thisRepN,psychometric_func.thisTrialN,psychometric_func.thisN,psychometric_func.thisIndex,thisRow.t,notes,text_2.started,key_resp.started,key_resp.keys,key_resp.rt,contrast.routineEndVal,spatial.routineEndVal,polygon.started,text_3.started,polygon.stopped,text_3.stopped,position.routineEndVal,key_resp_2.started,polygon_2.started,text_4.started,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,polygon_3.started,polygon_3.stopped,participant,session,stimulus duration,date,expName,psychopyVersion,frameRate,
9,0,9,0,,,,,,,,,,,,,,,,,,,,,,,,,,616636,001,0.1,2024-03-29_23h54.38.523,stimuli3,2022.2.5,59.99055748419023,
10,0,10,0,0,0,0,0,,,,,,,0.3760603093086394,0.5,421.33723980002105,421.33723980002105,421.43855860002805,421.43855860002805,"(-16, -8)",421.43855860002805,421.43855860002805,421.43855860002805,j,1,426.57761570002185,426.605619799986,427.1046177999815,616636,001,0.1,2024-03-29_23h54.38.523,stimuli3,2022.2.5,59.99055748419023,
10,0,10,0,,,,,,,,,,,,,,,,,,,,,,,,,,616636,001,0.1,2024-03-29_23h54.38.523,stimuli3,2022.2.5,59.99055748419023,
11,0,11,0,0,0,0,0,,,,,,,0.1414213562373095,0.5,427.1046177999815,427.1046177999815,427.20473340002354,427.20473340002354,"(16, 8)",427.20473340002354,427.20473340002354,427.20473340002354,i,1,427.7646313000005,427.7879815000342,428.2887204000144,616636,001,0.1,2024-03-29_23h54.38.523,stimuli3,2022.2.5,59.99055748419023,
11,0,11,0,,,,,,,,,,,,,,,,,,,,,,,,,,616636,001,0.1,2024-03-29_23h54.38.523,stimuli3,2022.2.5,59.99055748419023,
12,0,12,0,0,0,0,0,,,,,,,0.1414213562373095,0.5,428.2887204000144,428.2887204000144,428.3881260000053,428.3881260000053,"(16, -8)",428.3881260000053,428.3881260000053,428.3881260000053,j,0,428.70119170000544,428.7218928000075,429.2386703999946,616636,001,0.1,2024-03-29_23h54.38.523,stimuli3,2022.2.5,59.99055748419023,
12,0,12,0,,,,,,,,,,,,,,,,,,,,,,,,,,616636,001,0.1,2024-03-29_23h54.38.523,stimuli3,2022.2.5,59.99055748419023,
13,0,13,0,0,0,0,0,,,,,,,0.020000000000000004,0.5,429.2386703999946,429.2386703999946,429.33801810001023,429.33801810001023,"(-16, -8)",429.33801810001023,429.33801810001023,429.33801810001023,i,0,429.5627549000201,429.5882965999772,430.0877382000326,616636,001,0.1,2024-03-29_23h54.38.523,stimuli3,2022.2.5,59.99055748419023,
13,0,13,0,,,,,,,,,,,,,,,,,,,,,,,,,,616636,001,0.1,2024-03-29_23h54.38.523,stimuli3,2022.2.5,59.99055748419023,
14,0,14,0,0,0,0,0,,,,,,,1.0,0.5,430.0877382000326,430.0877382000326,430.18856999999844,430.18856999999844,"(-16, -8)",430.18856999999844,430.18856999999844,430.18856999999844,j,1,430.4107571999775,430.437981199997,430.9379173000343,616636,001,0.1,2024-03-29_23h54.38.523,stimuli3,2022.2.5,59.99055748419023,
14,0,14,0,,,,,,,,,,,,,,,,,,,,,,,,,,616636,001,0.1,2024-03-29_23h54.38.523,stimuli3,2022.2.5,59.99055748419023,
15,0,15,0,0,0,0,0,,,,,,,0.020000000000000004,0.5,430.9379173000343,430.9379173000343,431.03832890000194,431.03832890000194,"(-16, 8)",431.03832890000194,431.03832890000194,431.03832890000194,j,0,431.1644587999908,431.1883322999929,431.6881269000005,616636,001,0.1,2024-03-29_23h54.38.523,stimuli3,2022.2.5,59.99055748419023,
15,0,15,0,,,,,,,,,,,,,,,,,,,,,,,,,,616636,001,0.1,2024-03-29_23h54.38.523,stimuli3,2022.2.5,59.99055748419023,
16,0,16,0,0,0,0,0,,,,,,,0.1414213562373095,0.5,431.6881269000005,431.6881269000005,431.78804379998473,431.78804379998473,"(-16, 8)",431.78804379998473,431.78804379998473,431.78804379998473,j,0,431.7601045999909,431.80482680001296,432.32178170001134,616636,001,0.1,2024-03-29_23h54.38.523,stimuli3,2022.2.5,59.99055748419023,
16,0,16,0,,,,,,,,,,,,,,,,,,,,,,,,,,616636,001,0.1,2024-03-29_23h54.38.523,stimuli3,2022.2.5,59.99055748419023,
17,0,17,0,0,0,0,0,,,,,,,0.3760603093086394,0.5,432.32178170001134,432.32178170001134,432.4213753999793,432.4213753999793,"(-16, 8)",432.4213753999793,432.4213753999793,432.4213753999793,j,0,432.62462060002144,432.65446910000173,433.15426310000475,616636,001,0.1,2024-03-29_23h54.38.523,stimuli3,2022.2.5,59.99055748419023,
17,0,17,0,,,,,,,,,,,,,,,,,,,,,,,,,,616636,001,0.1,2024-03-29_23h54.38.523,stimuli3,2022.2.5,59.99055748419023,
18,0,18,0,0,0,0,0,,,,,,,0.05318295896944989,0.5,433.15426310000475,433.15426310000475,433.2552437999984,433.2552437999984,"(-16, -8)",433.2552437999984,433.2552437999984,433.2552437999984,j,1,433.4171302000177,433.4378865000326,433.93799350003246,616636,001,0.1,2024-03-29_23h54.38.523,stimuli3,2022.2.5,59.99055748419023,
18,0,18,0,,,,,,,,,,,,,,,,,,,,,,,,,,616636,001,0.1,2024-03-29_23h54.38.523,stimuli3,2022.2.5,59.99055748419023,
19,0,19,0,0,0,0,0,,,,,,,0.05318295896944989,0.5,433.93799350003246,433.93799350003246,434.0380864000181,434.0380864000181,"(-16, 8)",434.0380864000181,434.0380864000181,434.0380864000181,j,0,434.20820210000966,434.2381415999844,434.73811889998615,616636,001,0.1,2024-03-29_23h54.38.523,stimuli3,2022.2.5,59.99055748419023,
19,0,19,0,,,,,,,,,,,,,,,,,,,,,,,,,,616636,001,0.1,2024-03-29_23h54.38.523,stimuli3,2022.2.5,59.99055748419023,
