ga_loop.thisRepN,ga_loop.thisTrialN,ga_loop.thisN,ga_loop.thisIndex,psychometric_func.thisRepN,psychometric_func.thisTrialN,psychometric_func.thisN,psychometric_func.thisIndex,thisRow.t,notes,text_2.started,key_resp.started,key_resp.keys,key_resp.rt,contrast.routineEndVal,spatial.routineEndVal,polygon.started,text_3.started,polygon.stopped,text_3.stopped,position.routineEndVal,key_resp_2.started,polygon_2.started,text_4.started,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,polygon_3.started,polygon_3.stopped,participant,session,stimulus duration,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,381.8040032000281,381.8040032000281,space,392.4278059999924,,,,,,,,,,,,,,,,616636,001,0.1,2024-03-29_23h54.38.523,stimuli3,2022.2.5,59.99055748419023,
0,0,0,0,0,0,0,0,,,,,,,0.3760603093086394,0.5,392.6547165000229,392.6547165000229,392.75472239998635,392.75472239998635,"(16, 8)",392.75472239998635,392.75472239998635,392.75472239998635,i,1,400.0710719000199,400.088740999985,,616636,001,0.1,2024-03-29_23h54.38.523,stimuli3,2022.2.5,59.99055748419023,
0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,616636,001,0.1,2024-03-29_23h54.38.523,stimuli3,2022.2.5,59.99055748419023,
1,0,1,0,0,0,0,0,,,,,,,1.0,0.5,400.6051414000103,400.6051414000103,400.7048714000266,400.7048714000266,"(16, 8)",400.7048714000266,400.7048714000266,400.7048714000266,i,1,401.96110269997735,401.98864330002107,402.4882204000023,616636,001,0.1,2024-03-29_23h54.38.523,stimuli3,2022.2.5,59.99055748419023,
1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,616636,001,0.1,2024-03-29_23h54.38.523,stimuli3,2022.2.5,59.99055748419023,
2,0,2,0,0,0,0,0,,,,,,,0.05318295896944989,0.5,402.4882204000023,402.4882204000023,402.5880570000154,402.5880570000154,"(16, 8)",402.5880570000154,402.5880570000154,402.5880570000154,i,1,403.11255750001874,403.13828000001376,403.63794939999934,616636,001,0.1,2024-03-29_23h54.38.523,stimuli3,2022.2.5,59.99055748419023,
2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,616636,001,0.1,2024-03-29_23h54.38.523,stimuli3,2022.2.5,59.99055748419023,
3,0,3,0,0,0,0,0,,,,,,,0.3760603093086394,0.5,403.63794939999934,403.63794939999934,403.73792739998316,403.73792739998316,"(16, -8)",403.73792739998316,403.73792739998316,403.73792739998316,j,0,406.10013779997826,406.1213611999992,406.6213698000065,616636,001,0.1,2024-03-29_23h54.38.523,stimuli3,2022.2.5,59.99055748419023,
3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,616636,001,0.1,2024-03-29_23h54.38.523,stimuli3,2022.2.5,59.99055748419023,
4,0,4,0,0,0,0,0,,,,,,,0.020000000000000004,0.5,406.6213698000065,406.6213698000065,406.7215518000303,406.7215518000303,"(16, 8)",406.7215518000303,406.7215518000303,406.7215518000303,i,1,408.65550400002394,408.6881823000149,409.187887099979,616636,001,0.1,2024-03-29_23h54.38.523,stimuli3,2022.2.5,59.99055748419023,
4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,616636,001,0.1,2024-03-29_23h54.38.523,stimuli3,2022.2.5,59.99055748419023,
5,0,5,0,0,0,0,0,,,,,,,0.05318295896944989,0.5,409.187887099979,409.187887099979,409.2890353000257,409.2890353000257,"(16, -8)",409.2890353000257,409.2890353000257,409.2890353000257,j,0,410.1680171000189,410.1882293000235,410.68847160000587,616636,001,0.1,2024-03-29_23h54.38.523,stimuli3,2022.2.5,59.99055748419023,
5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,616636,001,0.1,2024-03-29_23h54.38.523,stimuli3,2022.2.5,59.99055748419023,
6,0,6,0,0,0,0,0,,,,,,,0.020000000000000004,0.5,410.68847160000587,410.68847160000587,410.78851600002963,410.78851600002963,"(16, -8)",410.78851600002963,410.78851600002963,410.78851600002963,j,0,411.8940141000203,411.92173260002164,412.42126299999654,616636,001,0.1,2024-03-29_23h54.38.523,stimuli3,2022.2.5,59.99055748419023,
6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,616636,001,0.1,2024-03-29_23h54.38.523,stimuli3,2022.2.5,59.99055748419023,
7,0,7,0,0,0,0,0,,,,,,,1.0,0.5,412.42126299999654,412.42126299999654,412.5219250000082,412.5219250000082,"(16, -8)",412.5219250000082,412.5219250000082,412.5219250000082,j,0,414.3436259999871,414.37197019997984,414.8881703999941,616636,001,0.1,2024-03-29_23h54.38.523,stimuli3,2022.2.5,59.99055748419023,
7,0,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,616636,001,0.1,2024-03-29_23h54.38.523,stimuli3,2022.2.5,59.99055748419023,
8,0,8,0,0,0,0,0,,,,,,,0.1414213562373095,0.5,414.8881703999941,414.8881703999941,414.9887782000005,414.9887782000005,"(-16, -8)",414.9887782000005,414.9887782000005,414.9887782000005,k,0,416.39402250002604,416.4211535999784,416.921393800003,616636,001,0.1,2024-03-29_23h54.38.523,stimuli3,2022.2.5,59.99055748419023,
8,0,8,0,,,,,,,,,,,,,,,,,,,,,,,,,,616636,001,0.1,2024-03-29_23h54.38.523,stimuli3,2022.2.5,59.99055748419023,
9,0,9,0,0,0,0,0,,,,,,,1.0,0.5,416.921393800003,416.921393800003,417.0214751000167,417.0214751000167,"(-16, 8)",417.0214751000167,417.0214751000167,417.0214751000167,u,1,420.8194126000162,420.83847860002425,421.33723980002105,616636,001,0.1,2024-03-29_23h54.38.523,stimuli3,2022.2.5,59.99055748419023,
