ga_loop.thisRepN,ga_loop.thisTrialN,ga_loop.thisN,ga_loop.thisIndex,psychometric_func.thisRepN,psychometric_func.thisTrialN,psychometric_func.thisN,psychometric_func.thisIndex,thisRow.t,notes,text_2.started,key_resp.started,key_resp.keys,key_resp.rt,contrast.routineEndVal,spatial.routineEndVal,polygon.started,text_3.started,polygon.stopped,text_3.stopped,position.routineEndVal,key_resp_2.started,polygon_2.started,text_4.started,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,polygon_3.started,polygon_3.stopped,participant,session,stimulus duration,date,expName,psychopyVersion,frameRate,
9,0,9,0,0,0,0,0,,,,,,,0.05318295896944989,0.5,66.037539500001,66.037539500001,66.05425169999944,66.05425169999944,"(16, -8)",66.05425169999944,66.05425169999944,66.05425169999944,u,0,65.78859060000104,66.07041499999468,66.57121710000501,985794,001,0.01,2024-04-03_23h07.50.020,stimuli3,2022.2.5,59.79906318937502,
9,0,9,0,,,,,,,,,,,,,,,,,,,,,,,,,,985794,001,0.01,2024-04-03_23h07.50.020,stimuli3,2022.2.5,59.79906318937502,
10,0,10,0,0,0,0,0,,,,,,,0.020000000000000004,0.5,66.57121710000501,66.57121710000501,66.58737730000576,66.58737730000576,"(-16, -8)",66.58737730000576,66.58737730000576,66.58737730000576,u,0,66.38720019999892,66.60435330000473,67.10413870000048,985794,001,0.01,2024-04-03_23h07.50.020,stimuli3,2022.2.5,59.79906318937502,
10,0,10,0,,,,,,,,,,,,,,,,,,,,,,,,,,985794,001,0.01,2024-04-03_23h07.50.020,stimuli3,2022.2.5,59.79906318937502,
11,0,11,0,0,0,0,0,,,,,,,1.0,0.5,67.10413870000048,67.10413870000048,67.12052160000894,67.12052160000894,"(-16, -8)",67.12052160000894,67.12052160000894,67.12052160000894,u,0,66.7673775000003,67.13754480000352,67.63735530000122,985794,001,0.01,2024-04-03_23h07.50.020,stimuli3,2022.2.5,59.79906318937502,
11,0,11,0,,,,,,,,,,,,,,,,,,,,,,,,,,985794,001,0.01,2024-04-03_23h07.50.020,stimuli3,2022.2.5,59.79906318937502,
12,0,12,0,0,0,0,0,,,,,,,0.020000000000000004,0.5,67.63735530000122,67.63735530000122,67.65436830000544,67.65436830000544,"(16, -8)",67.65436830000544,67.65436830000544,67.65436830000544,u,0,67.38754920000792,67.67054000000644,68.17046599999594,985794,001,0.01,2024-04-03_23h07.50.020,stimuli3,2022.2.5,59.79906318937502,
12,0,12,0,,,,,,,,,,,,,,,,,,,,,,,,,,985794,001,0.01,2024-04-03_23h07.50.020,stimuli3,2022.2.5,59.79906318937502,
13,0,13,0,0,0,0,0,,,,,,,0.1414213562373095,0.5,68.17046599999594,68.17046599999594,68.18732029999956,68.18732029999956,"(16, -8)",68.18732029999956,68.18732029999956,68.18732029999956,u,0,67.83822250000958,68.20424960000673,68.70439230000193,985794,001,0.01,2024-04-03_23h07.50.020,stimuli3,2022.2.5,59.79906318937502,
13,0,13,0,,,,,,,,,,,,,,,,,,,,,,,,,,985794,001,0.01,2024-04-03_23h07.50.020,stimuli3,2022.2.5,59.79906318937502,
14,0,14,0,0,0,0,0,,,,,,,0.3760603093086394,0.5,68.70439230000193,68.70439230000193,68.7206087000086,68.7206087000086,"(16, -8)",68.7206087000086,68.7206087000086,68.7206087000086,u,0,68.47642089999863,68.73737990000518,69.23729780000576,985794,001,0.01,2024-04-03_23h07.50.020,stimuli3,2022.2.5,59.79906318937502,
14,0,14,0,,,,,,,,,,,,,,,,,,,,,,,,,,985794,001,0.01,2024-04-03_23h07.50.020,stimuli3,2022.2.5,59.79906318937502,
15,0,15,0,0,0,0,0,,,,,,,0.05318295896944989,0.5,69.23729780000576,69.23729780000576,69.25444000000425,69.25444000000425,"(-16, -8)",69.25444000000425,69.25444000000425,69.25444000000425,u,0,69.07616820000112,69.27056010000524,69.77143079999951,985794,001,0.01,2024-04-03_23h07.50.020,stimuli3,2022.2.5,59.79906318937502,
15,0,15,0,,,,,,,,,,,,,,,,,,,,,,,,,,985794,001,0.01,2024-04-03_23h07.50.020,stimuli3,2022.2.5,59.79906318937502,
16,0,16,0,0,0,0,0,,,,,,,1.0,0.5,69.77143079999951,69.77143079999951,69.78760609999881,69.78760609999881,"(16, -8)",69.78760609999881,69.78760609999881,69.78760609999881,u,0,69.26883090000774,69.80437549999624,70.30425660000765,985794,001,0.01,2024-04-03_23h07.50.020,stimuli3,2022.2.5,59.79906318937502,
16,0,16,0,,,,,,,,,,,,,,,,,,,,,,,,,,985794,001,0.01,2024-04-03_23h07.50.020,stimuli3,2022.2.5,59.79906318937502,
17,0,17,0,0,0,0,0,,,,,,,0.1414213562373095,0.5,70.30425660000765,70.30425660000765,70.32133429999521,70.32133429999521,"(-16, -8)",70.32133429999521,70.32133429999521,70.32133429999521,u,0,71.07184390000475,71.1048099000036,71.62093610000738,985794,001,0.01,2024-04-03_23h07.50.020,stimuli3,2022.2.5,59.79906318937502,
17,0,17,0,,,,,,,,,,,,,,,,,,,,,,,,,,985794,001,0.01,2024-04-03_23h07.50.020,stimuli3,2022.2.5,59.79906318937502,
18,0,18,0,0,0,0,0,,,,,,,0.3760603093086394,0.5,71.62093610000738,71.62093610000738,71.63802009999927,71.63802009999927,"(-16, -8)",71.63802009999927,71.63802009999927,71.63802009999927,u,0,71.40532980000717,71.65409229999932,72.15401290000591,985794,001,0.01,2024-04-03_23h07.50.020,stimuli3,2022.2.5,59.79906318937502,
18,0,18,0,,,,,,,,,,,,,,,,,,,,,,,,,,985794,001,0.01,2024-04-03_23h07.50.020,stimuli3,2022.2.5,59.79906318937502,
19,0,19,0,0,0,0,0,,,,,,,0.020000000000000004,0.5,72.15401290000591,72.15401290000591,72.17103199999838,72.17103199999838,"(16, 8)",72.17103199999838,72.17103199999838,72.17103199999838,u,0,71.89689580000413,72.1878194000019,72.68728790000023,985794,001,0.01,2024-04-03_23h07.50.020,stimuli3,2022.2.5,59.79906318937502,
19,0,19,0,,,,,,,,,,,,,,,,,,,,,,,,,,985794,001,0.01,2024-04-03_23h07.50.020,stimuli3,2022.2.5,59.79906318937502,
